,T_MBON_1,T_MBON_2,T_MBON_3,T_MBON_4,T_MBON_5,T_MBON_6,T_MBON_7,T_MBON_8,T_MBON_9,T_MBON_10,T_MBON_11,T_MBON_12,T_MBON_13,T_MBON_14,T_MBON_15,T_MBON_16
T_MBIN_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_MBIN_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_MBIN_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_MBIN_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_MBIN_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_MBIN_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_MBIN_7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_MBIN_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_MBIN_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_MBIN_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_MBIN_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_MBIN_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_MBIN_13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_MBIN_14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_MBIN_15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T_MBIN_16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F_273_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_274_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_275_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F_276_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F_277_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F_278_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F_279_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F_280_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
F_281_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
F_282_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
F_283_1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F_284_1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
F_285_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
F_286_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
F_287_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F_288_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F_305_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_306_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_307_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F_308_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F_309_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F_310_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F_311_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F_312_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
F_313_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
F_314_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
F_315_1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F_316_1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
F_317_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
F_318_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
F_319_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F_320_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F_337_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_338_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_339_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F_340_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F_341_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
F_342_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F_343_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F_344_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
F_345_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
F_346_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
F_347_1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F_348_1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
F_349_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
F_350_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
F_351_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
